country_code,year,population,gdp_usd,gdp_per_capita,life_expectancy,co2_per_capita,renewable_pct,internet_pct,gini,urban_pct,electricity_pct,under5_mortality,health_spend_pct
ARE,2007,5624635,257916148767,45854.74,81.44,24.38,0.10,61.00,,82.76,100.00,9.40,2.57
ARE,2008,6302664,315474615741,50054.17,81.59,26.06,0.10,63.00,,82.97,100.00,9.20,2.93
ARE,2009,6707058,253547358747,37803.07,81.68,24.65,0.10,64.00,,83.17,100.00,9.00,4.05
ARE,2010,6869838,307736348527,44795.28,81.89,25.03,0.10,68.00,,83.37,100.00,8.80,3.74
ARE,2011,7104538,368881033963,51921.89,81.90,24.95,0.10,78.00,,83.57,100.00,8.60,3.57
ARE,2012,7391448,392793559051,53141.63,81.91,25.03,0.10,85.00,,83.76,100.00,8.40,3.34
ARE,2013,7693031,409632574703,53247.23,81.95,25.35,0.10,88.00,32.50,83.96,100.00,8.20,3.50
ARE,2014,8059440,424935834104,52725.23,81.99,24.58,0.10,90.40,,84.14,100.00,7.90,3.53
ARE,2015,8505237,381973135513,44910.35,82.08,24.32,0.10,90.50,,84.33,100.00,7.60,3.47
ARE,2016,8935095,381717208621,42721.11,82.20,23.77,0.10,90.60,,84.51,100.00,7.30,3.90
ARE,2017,9223225,403365056079,43733.62,82.39,22.16,0.20,94.82,,84.69,100.00,7.00,4.01
ARE,2018,9346701,440560003161,47135.35,82.45,20.04,0.30,98.45,26.40,84.86,100.00,6.70,4.10
ARE,2019,9445785,433926218686,45938.61,82.60,20.95,0.70,99.15,,85.03,100.00,6.30,4.40
ARE,2020,9401038,357161776271,37991.74,81.94,20.81,0.90,100.00,,85.20,100.00,5.90,5.82
ARE,2021,9575152,422441282436,44118.49,79.08,20.83,1.00,100.00,,85.36,100.00,5.60,5.30
ARE,2022,10074977,511403404642,50759.76,80.49,19.37,,100.00,,85.51,100.00,5.30,4.57
ARE,2023,10483751,522622268401,49850.69,82.91,18.38,,100.00,,85.67,100.00,5.00,4.97
ARG,2000,37213984,284203750000,7637.01,73.91,3.67,9.80,7.04,51.00,89.18,95.70,19.40,8.22
ARG,2001,37624825,268696750000,7141.48,74.15,3.49,11.50,9.78,53.30,89.37,95.50,18.80,8.27
ARG,2002,38029349,97724004252,2569.70,74.31,3.26,11.60,10.88,53.80,89.56,96.10,18.30,7.33
ARG,2003,38424282,127586973492,3320.48,74.31,3.52,10.80,11.91,51.00,89.75,96.30,17.80,6.93
ARG,2004,38815916,164657930453,4242.02,74.87,3.86,9.30,16.04,48.50,89.94,96.50,17.30,7.09
ARG,2005,39216789,198737095012,5067.65,75.23,3.92,9.60,17.72,47.80,90.12,96.70,16.70,7.73
ARG,2006,39622115,232557260817,5869.38,75.28,4.10,9.20,20.93,46.40,90.30,97.00,16.20,7.71
ARG,2007,40016763,287530508431,7185.25,74.78,4.33,7.70,25.95,46.30,90.48,97.20,15.80,7.86
ARG,2008,40424148,361558037110,8944.11,75.43,4.43,7.70,28.11,45.00,90.65,97.50,15.40,8.24
ARG,2009,40854831,332976484578,8150.24,75.58,4.03,8.60,34.00,43.80,90.82,97.80,15.00,9.57
ARG,2010,41288694,423627422092,10260.13,75.68,4.29,8.80,45.00,43.70,90.99,98.80,14.40,9.49
ARG,2011,41730660,530158122010,12704.28,76.10,4.43,8.80,51.00,42.70,91.11,99.00,13.90,9.51
ARG,2012,42161721,545982375701,12949.72,75.80,4.48,8.60,55.80,41.40,91.20,99.10,13.30,9.89
ARG,2013,42582455,552025140252,12963.68,75.83,4.54,8.90,59.90,41.10,91.30,99.30,12.70,9.92
ARG,2014,43024071,526319673732,12233.14,76.27,4.42,9.80,64.70,41.80,91.40,100.00,12.20,9.80
ARG,2015,43477012,594749285413,13679.63,76.60,4.51,9.40,68.04,,91.49,99.70,11.70,10.27
ARG,2016,43900313,557532320663,12699.96,76.11,4.42,9.40,70.97,42.30,91.59,99.90,11.40,10.05
ARG,2017,44288894,643628393281,14532.50,76.54,4.32,10.40,74.29,41.40,91.68,100.00,11.00,10.26
ARG,2018,44654882,524819892360,11752.80,76.77,4.25,10.50,77.70,41.70,91.77,100.00,10.70,10.17
ARG,2019,44973465,447754683615,9955.97,76.85,4.08,10.70,79.95,43.30,91.86,100.00,10.50,10.12
ARG,2020,45191965,385740508437,8535.60,75.88,3.72,9.80,85.51,42.70,91.94,100.00,10.30,10.67
ARG,2021,45312281,486564085480,10738.02,73.95,4.10,9.20,87.15,42.40,92.03,100.00,10.10,11.01
ARG,2022,45407904,633993756301,13962.19,75.81,4.30,,88.38,40.70,92.11,100.00,9.90,10.16
ARG,2023,45538401,649461687959,14261.85,77.40,4.17,,89.23,42.40,92.19,100.00,9.70,10.27
ARM,2000,3221100,1911563669,593.45,72.88,1.11,7.20,1.30,,64.96,98.90,30.60,4.20
ARM,2001,3211800,2118467913,659.59,72.98,1.13,5.40,1.63,35.40,64.82,100.00,29.10,4.65
ARM,2002,3199800,2376335048,742.65,72.83,0.97,8.90,1.96,34.80,64.74,98.00,27.70,7.61
ARM,2003,3182500,2807061009,882.03,72.83,1.09,9.80,4.58,33.00,64.67,99.10,26.40,7.18
ARM,2004,3164900,3576615240,1130.09,73.03,1.19,8.70,4.90,37.50,64.60,99.10,25.10,6.06
ARM,2005,3146400,4900469511,1557.48,73.08,1.42,6.50,5.25,36.00,64.53,99.80,23.90,5.86
ARM,2006,3127100,6384452067,2041.65,72.82,1.42,7.70,5.63,29.70,64.48,99.10,22.70,5.85
ARM,2007,3107400,9206301270,2962.70,72.87,1.66,7.00,6.02,31.20,64.43,99.20,21.60,5.50
ARM,2008,3087100,11662040714,3777.67,73.07,1.83,6.40,6.21,29.20,64.38,99.20,20.60,6.64
ARM,2009,3066000,8647937081,2820.59,73.07,1.47,7.80,15.30,28.00,64.35,99.30,19.60,8.44
ARM,2010,3044800,9260285756,3041.34,73.17,1.41,9.40,25.00,30.00,64.33,99.80,18.70,9.24
ARM,2011,3027900,10142111825,3349.55,73.82,1.62,8.00,32.00,29.40,64.32,99.50,17.80,9.38
ARM,2012,3024100,10619320683,3511.56,74.12,1.87,6.60,37.50,29.60,64.33,99.50,16.90,9.13
ARM,2013,3022000,11121464437,3680.17,74.62,1.82,6.80,41.90,30.60,64.36,99.40,16.10,10.32
ARM,2014,3013800,11609513247,3852.12,74.87,1.91,7.10,54.62,31.50,64.41,99.70,15.40,10.18
ARM,2015,3004600,10553337518,3512.39,74.87,1.87,10.70,59.10,32.40,64.49,100.00,14.70,10.12
ARM,2016,2992300,10546136236,3524.42,74.87,1.80,13.20,64.35,32.50,64.59,99.80,14.00,9.95
ARM,2017,2979400,11527458709,3869.05,75.22,1.91,12.60,64.74,33.60,64.71,99.70,13.30,10.36
ARM,2018,2969000,12457940695,4196.01,75.62,2.00,11.10,68.25,34.40,64.85,99.90,12.70,10.01
ARM,2019,2962500,13619290539,4597.23,76.22,2.17,10.30,66.54,30.00,65.00,100.00,12.10,11.38
ARM,2020,2961500,12641698583,4268.68,73.38,2.33,8.40,76.51,25.10,65.17,100.00,11.60,12.24
ARM,2021,2962300,13878908629,4685.18,72.28,2.52,9.10,78.61,27.90,65.36,100.00,11.00,12.32
ARM,2022,2969200,19513506553,6571.97,74.77,2.62,,77.03,27.90,65.56,100.00,10.50,9.96
ARM,2023,2964300,24185982216,8159.09,77.47,2.53,,80.00,27.20,65.70,100.00,10.00,9.32
ASM,2000,56855,,,71.44,0.00,0.00,,,88.61,,,
ASM,2001,57053,,,71.57,0.00,0.00,,,88.55,,,
ASM,2002,57062,512000000,8972.70,71.76,0.00,0.00,,,88.43,,,
ASM,2003,56971,524000000,9197.66,71.70,0.00,0.00,,,88.26,,,
ASM,2004,56818,509000000,8958.43,72.28,0.00,0.00,,,88.04,,,
ASM,2005,56617,500000000,8831.27,72.38,0.00,0.00,,,87.78,,,
ASM,2006,56374,493000000,8745.17,72.40,0.00,0.00,,,87.50,,,
ASM,2007,56113,518000000,9231.37,72.37,0.00,0.00,,,87.20,,,
ASM,2008,55828,560000000,10030.81,72.43,0.00,0.00,,,86.90,,,
ASM,2009,55528,675000000,12156.03,70.84,0.00,0.00,,,86.60,,,
ASM,2010,55228,573000000,10375.17,72.59,0.00,0.00,,,86.32,,,
ASM,2011,54895,570000000,10383.46,72.66,0.00,0.00,,,86.03,,,
ASM,2012,54489,640000000,11745.49,72.71,0.00,0.10,,,85.72,,,
ASM,2013,54006,638000000,11813.50,72.77,0.00,0.20,,,85.38,,,
ASM,2014,53466,643000000,12026.33,72.69,0.00,0.20,,,85.04,,,
ASM,2015,52878,673000000,12727.41,72.65,0.00,0.20,,,84.67,,,
ASM,2016,52245,671000000,12843.33,72.64,0.00,0.20,,,84.29,,,
ASM,2017,51586,612000000,11863.68,72.80,0.00,0.30,,,83.89,,,
ASM,2018,50908,639000000,12552.05,72.79,0.00,0.30,,,83.48,,,
ASM,2019,50209,647000000,12886.14,72.75,0.00,0.40,,,83.05,,,
ASM,2020,49761,721000000,14489.26,72.67,0.00,0.40,,,82.62,,,
ASM,2021,49225,750000000,15236.16,72.71,0.00,0.40,,,82.21,,,
ASM,2022,48342,871000000,18017.46,72.75,0.00,0.40,,,81.79,,,
ASM,2023,47521,,,72.85,0.00,,,,81.37,,,
ATG,2000,74912,901003704,12027.49,74.82,1.81,0.00,6.48,,32.23,97.70,14.90,4.32
ATG,2001,76069,877774074,11539.18,75.11,1.74,0.00,8.90,,31.76,97.70,14.60,4.96
ATG,2002,77032,898092593,11658.69,75.24,1.95,0.00,12.50,,31.23,100.00,14.30,4.80
ATG,2003,77884,948100000,12173.23,75.31,2.10,0.00,17.23,,30.60,97.90,13.90,5.04
ATG,2004,78719,1026329630,13037.89,75.33,2.11,0.00,24.27,,29.91,97.90,13.60,4.58
ATG,2005,79611,1143896296,14368.57,75.36,2.17,0.00,27.00,,29.17,92.20,13.30,4.46
ATG,2006,80604,1303674074,16173.81,75.51,2.43,0.00,30.00,,28.44,100.00,13.00,4.11
ATG,2007,81704,1487381481,18204.51,75.72,2.63,0.00,34.00,,27.72,100.00,12.70,3.92
ATG,2008,82912,1557640741,18786.67,76.08,2.79,0.00,38.00,,27.06,100.00,12.50,3.69
ATG,2009,84173,1386518519,16472.25,76.39,3.17,0.00,42.00,,26.48,98.50,12.20,3.70
ATG,2010,85320,1298348148,15217.40,76.70,3.27,0.00,47.00,,26.02,98.70,12.00,4.76
ATG,2011,86332,1287359259,14911.73,77.02,2.46,0.10,52.00,,25.69,94.60,11.80,4.81
ATG,2012,87260,1364729630,15639.81,77.10,2.60,0.10,58.00,,25.46,100.00,11.60,4.82
ATG,2013,88064,1325496296,15051.51,77.05,2.95,0.10,63.40,,25.25,100.00,11.40,4.91
ATG,2014,88765,1378707407,15532.11,76.91,3.15,0.10,67.78,,25.09,100.00,11.20,5.32
ATG,2015,89409,1437485185,16077.63,76.89,3.25,0.40,70.00,,25.00,100.00,11.00,4.91
ATG,2016,89969,1489603704,16556.86,76.97,3.50,0.40,70.27,,24.92,100.00,10.80,4.94
ATG,2017,90468,1534855556,16965.73,77.03,3.06,0.40,70.54,,24.85,100.00,10.70,4.66
ATG,2018,90926,1661529630,18273.43,77.13,3.16,0.70,70.82,,24.78,100.00,10.50,4.69
ATG,2019,91364,1726448148,18896.37,77.17,3.75,0.70,71.09,,24.71,100.00,10.30,4.28
ATG,2020,91846,1411637037,15369.61,77.16,3.55,0.90,71.37,,24.64,100.00,10.10,5.68
ATG,2021,92349,1602125926,17348.60,77.20,3.59,0.90,71.65,,24.57,100.00,9.80,4.81
ATG,2022,92840,1857114815,20003.39,77.48,3.69,0.90,71.92,,24.51,100.00,9.60,4.43
ATG,2023,93316,2054096296,22012.26,77.60,3.69,,72.12,,24.45,100.00,9.30,3.91
AUS,2000,19028802,416901962163,21909.00,79.23,18.60,8.40,46.76,,85.11,100.00,6.20,7.59
AUS,2001,19274701,380360222861,19733.65,79.63,18.70,8.40,52.69,33.50,85.15,100.00,6.10,7.67
AUS,2002,19495210,396436967263,20335.10,79.94,18.91,8.70,,,85.28,100.00,6.00,7.87
AUS,2003,19720737,468517181130,23757.59,80.24,18.67,7.20,,33.50,85.41,100.00,5.90,7.88
